 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2002
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"170389 Carrasco Bonito";-;-;-;-;2;1;-;-;1;3;7
"170390 Caseara";1;-;-;-;2;1;2;3;3;-;12
"170410 Centenário";-;-;-;-;-;-;-;-;-;2;2
"170510 Chapada da Natividade";-;-;-;-;-;1;1;-;-;3;5
"170460 Chapada de Areia";-;-;-;-;-;-;1;1;1;-;3
"170550 Colinas do Tocantins";9;2;1;4;8;5;7;4;17;18;75
"171670 Colméia";2;3;2;8;4;3;6;1;11;7;47
"170555 Combinado";-;-;-;-;1;1;4;3;4;1;14
"170560 Conceição do Tocantins";-;-;-;-;1;2;-;-;7;7;17
"170600 Couto Magalhães";-;-;-;1;-;-;-;-;-;-;1
"170610 Cristalândia";-;-;1;-;-;1;-;2;6;11;21
"170625 Crixás do Tocantins";-;-;-;-;1;-;-;-;-;-;1
"170650 Darcinópolis";-;-;1;2;2;1;2;1;-;1;10
"170700 Dianópolis";11;-;1;5;3;1;13;9;12;11;66
"170710 Divinópolis do Tocantins";1;-;1;1;1;1;2;5;4;2;18
"170720 Dois Irmãos do Tocantins";1;2;-;1;-;1;3;1;3;5;17
"170730 Dueré";-;-;-;-;2;-;2;1;2;7;14
"170740 Esperantina";3;-;-;-;3;1;2;2;3;4;18
"170755 Fátima";-;-;-;3;-;-;-;4;3;3;13
